web_scraper_order,web_scraper_start_url,autres_animaux,nom,prix,adresse,image
"1771238028-69","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4047285"
"1771238028-70","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3691179"
"1771238028-71","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-3651241"
"1771238028-72","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3645463"
"1771238028-73","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-3645462"
"1771238028-74","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/buf-5054269"
"1771238030-75","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","","","","https://sn.coinafrique.com/profil/5d754e3d-21ad-48e6-8788-392db7a6362d"
"1771238030-76","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","","","","https://sn.coinafrique.com/profil/5d754e3d-21ad-48e6-8788-392db7a6362d"
"1771238033-77","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/profil/f872a66e-f983-45c9-a140-0d808bd263c0"
"1771238033-78","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/profil/f872a66e-f983-45c9-a140-0d808bd263c0"
